instruction,input,output
,Can I talk about my work on social media?,"If employees identify themselves as Bank employees on personal social media or discuss Bank-related matters, they should use a disclaimer stating their views are their own, ensure their profile is consistent with their professional presentation, and remember they may still be viewed as a spokesperson for the Bank."
,What benefits are available to part-time employees?,"Part-time employees who work at least 20 hours per week are eligible for some benefits sponsored by First National Bank, subject to the terms, conditions, and limitations of each benefit program."
,What's the difference between exempt and non-exempt employees?,"Non-exempt employees are entitled to overtime pay under the Fair Labor Standards Act (FLSA) and are required to submit time records. Exempt employees are not entitled to overtime pay and are employed in an executive, administrative, professional, outside sales, or certain computer-related capacity."
,How does the bank define teamwork?,"Teamwork is defined as collaborating effectively, respecting diverse perspectives, and supporting each other to achieve common goals."
,How does First National Bank give back to the community?,"Community Commitment is one of the bank's core values, and community involvement is mentioned in the Employee Relations section of the handbook."
,What should I do if I witness harassment?,"Any employee who witnesses harassment should report the incident promptly through direct management, Human Resources, the Ethics Hotline, or executive management."
,What's the process for requesting time off?,"For planned absences, employees should request time off as far in advance as possible, as mentioned in the Attendance and Punctuality section."
,How should I secure my computer when I'm away from my desk?,Employees should lock their computers when away from their desks as part of the security measures for protecting confidential information.
,What happens if I violate the code of ethics?,"Violations of the Code of Ethics may result in disciplinary action, up to and including termination of employment."
,How should I dispose of documents with customer information?,Secure shredding bins should be used for disposal of confidential documents.
,What's considered excessive absenteeism?,Excessive absenteeism is defined as more than three unscheduled absences in a three-month period.
,What happens if I don't show up for work and don't call?,"Failure to notify a supervisor of an absence (no-call, no-show) is considered a serious offense and may result in immediate disciplinary action."
,What kind of cybersecurity training does the bank provide?,"Cybersecurity protocols are mentioned in the Information Technology section of the handbook, though specific training details are not explicitly stated in the excerpt provided."
,How does the bank handle workplace accidents?,Workers' compensation is addressed in the Workplace Health and Safety section of the handbook.
,What's the bank's approach to innovation?,"Innovation is reflected in the bank's core value of Excellence, which states 'We strive for exceptional performance in everything we do, constantly seeking to improve and innovate,' and in its vision to be known for 'innovative solutions.'"
,Can I get time off to vote?,Voting time is listed among the types of time off in the Time Off and Leaves of Absence section of the handbook.
,What kind of health and wellness programs does the bank offer?,A wellness program is mentioned in the Employee Relations section of the handbook.
,What should I wear for a business casual day?,"Business casual attire includes dress slacks or khakis, button-down shirts, polo shirts, sweaters, loafers or dress shoes for men; and casual dresses, skirts, slacks, blouses, sweaters, dress shoes or dress sandals for women."
,How does the bank promote work-life balance?,"The bank addresses work-life balance through policies on flexible work arrangements, remote work, meal and rest breaks, and various types of leave, which are covered in the Work Hours and Scheduling and Time Off sections of the handbook."
,What should I do if I get a suspicious email?,Email and internet policy and cybersecurity protocols are covered in the Information Technology section of the handbook.
,What's the bank's position on environmental sustainability?,Environmental sustainability is not explicitly addressed in the handbook excerpt provided.
,How does the bank handle performance bonuses?,Performance bonuses are mentioned in the Compensation and Benefits section of the handbook.
,What kind of professional development opportunities are available?,"Professional development is addressed through training and development, career development, and the mentoring program in the Performance Management section of the handbook."
,What happens if I need to take bereavement leave?,Bereavement leave is covered in the Time Off and Leaves of Absence section of the handbook.
,Can I look at customer accounts out of curiosity?,"No, access to customer information should be limited to what is necessary to perform job duties. Unauthorized access would violate privacy and confidentiality policies."
,What happens if a customer offers me money for special treatment?,"Accepting money for special treatment would violate the bank's policies on gifts and gratuities, conflicts of interest, and the code of ethics. Employees may not accept cash or cash equivalents of any amount."
,What should I do if I see another employee violating policy?,"Employees are expected to report suspected violations of the Code of Ethics or other Bank policies, as stated in the Code of Ethics section."
,Are visible tattoos allowed at work?,Visible tattoos should be minimal and non-offensive according to the Dress Code and Appearance policy.
,Can I use colored hair dye?,Unnaturally colored hair is generally not permitted according to the Dress Code and Appearance policy.
,What types of facial piercings are allowed?,Facial jewelry other than earrings should be minimal according to the Dress Code and Appearance policy.
,Can I wear a hat at work?,Hats or caps are not permitted inside the building unless required for religious purposes.
